분류,경로,이름,Q1,Q2,상태,비고,PR,완료일
09-national,09-national/other/SP-NAT-OTHER-KOMIDI_v1.1.md,SP-NAT-OTHER-KOMIDI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-HANSIK_v1.1.md,SP-NAT-OTHER-HANSIK_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOREATECH_v1.1.md,SP-NAT-OTHER-KOREATECH_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-YGPA_v1.1.md,SP-NAT-OTHER-YGPA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIOST_v1.1.md,SP-NAT-OTHER-KIOST_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KPTB_v1.1.md,SP-NAT-OTHER-KPTB_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-FSI_v1.1.md,SP-NAT-OTHER-FSI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-GJSM_v1.1.md,SP-NAT-OTHER-GJSM_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KMIPA_v1.1.md,SP-NAT-OTHER-KMIPA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-BSNUH_v1.1.md,SP-NAT-OTHER-BSNUH_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KWDI_v1.1.md,SP-NAT-OTHER-KWDI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOITA_v1.1.md,SP-NAT-OTHER-KOITA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KDRA_v1.1.md,SP-NAT-OTHER-KDRA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KNUDH_v1.1.md,SP-NAT-OTHER-KNUDH_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-NMC_v1.1.md,SP-NAT-OTHER-NMC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KDB_v1.1.md,SP-NAT-OTHER-KDB_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-SEC_v1.1.md,SP-NAT-OTHER-SEC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KLSC_v1.1.md,SP-NAT-OTHER-KLSC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KONANO_v1.1.md,SP-NAT-OTHER-KONANO_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-NECA_v1.1.md,SP-NAT-OTHER-NECA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KCII_v1.1.md,SP-NAT-OTHER-KCII_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KHPLE_v1.1.md,SP-NAT-OTHER-KHPLE_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KL88_v1.1.md,SP-NAT-OTHER-KL88_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-CSSA_v1.1.md,SP-NAT-OTHER-CSSA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KISTEP_v1.1.md,SP-NAT-OTHER-KISTEP_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIHASA_v1.1.md,SP-NAT-OTHER-KIHASA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-EXSERVICE_v1.1.md,SP-NAT-OTHER-EXSERVICE_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KJOBWORLD_v1.1.md,SP-NAT-OTHER-KJOBWORLD_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-GRAC_v1.1.md,SP-NAT-OTHER-GRAC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-TPCS_v1.1.md,SP-NAT-OTHER-TPCS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KCARBON_v1.1.md,SP-NAT-OTHER-KCARBON_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KRTC_v1.1.md,SP-NAT-OTHER-KRTC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-NMM_v1.1.md,SP-NAT-OTHER-NMM_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-NICE2_v1.1.md,SP-NAT-OTHER-NICE2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-CNUH2_v1.1.md,SP-NAT-OTHER-CNUH2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KAIA_v1.1.md,SP-NAT-OTHER-KAIA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOFA_v1.1.md,SP-NAT-OTHER-KOFA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIGEPE_v1.1.md,SP-NAT-OTHER-KIGEPE_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KLI2_v1.1.md,SP-NAT-OTHER-KLI2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-PBS_v1.1.md,SP-NAT-OTHER-PBS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-NMSM_v1.1.md,SP-NAT-OTHER-NMSM_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-WISET_v1.1.md,SP-NAT-OTHER-WISET_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-SUDOKWON_v1.1.md,SP-NAT-OTHER-SUDOKWON_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-EPIS_v1.1.md,SP-NAT-OTHER-EPIS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KMI_v1.1.md,SP-NAT-OTHER-KMI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KLA2_v1.1.md,SP-NAT-OTHER-KLA2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KHOA2_v1.1.md,SP-NAT-OTHER-KHOA2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIPF_v1.1.md,SP-NAT-OTHER-KIPF_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOFTA_v1.1.md,SP-NAT-OTHER-KOFTA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KICET_v1.1.md,SP-NAT-OTHER-KICET_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KANGWONUH_v1.1.md,SP-NAT-OTHER-KANGWONUH_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KVMC_v1.1.md,SP-NAT-OTHER-KVMC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-AQIS2_v1.1.md,SP-NAT-OTHER-AQIS2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KATRI_v1.1.md,SP-NAT-OTHER-KATRI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIET_v1.1.md,SP-NAT-OTHER-KIET_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOFPI_v1.1.md,SP-NAT-OTHER-KOFPI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KCTI_v1.1.md,SP-NAT-OTHER-KCTI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KORDI2_v1.1.md,SP-NAT-OTHER-KORDI2_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KINU_v1.1.md,SP-NAT-OTHER-KINU_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-SPACEIC_v1.1.md,SP-NAT-OTHER-SPACEIC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOFAC_v1.1.md,SP-NAT-OTHER-KOFAC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOBC_v1.1.md,SP-NAT-OTHER-KOBC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KCWU_v1.1.md,SP-NAT-OTHER-KCWU_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-NEXTMODEL_v1.1.md,SP-NAT-OTHER-NEXTMODEL_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-CNUH_v1.1.md,SP-NAT-OTHER-CNUH_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOMUF_v1.1.md,SP-NAT-OTHER-KOMUF_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KPF_v1.1.md,SP-NAT-OTHER-KPF_v1.1,Y,N,미착수,,,
